08 27 1990;1;1;1;1990;Targeted;1;Eldorado High;High;Las Vegas;NV;Suburb;Current Student;M;15;0;gang-related;2519;38.7326807;-120.8118798;;;;;
10 09 1991;1;1;1;1991;Targeted;1;James Monroe;High;Bronx;NY;City;Current Student;M;;0;the victim challenged the perpetrator to a fight after an argument;;43.146905;-77.598189;;;;;
04 23 1991;5;1;2;1991;Other;1;Ralph J. Bunche Middle;Middle;Compton;CA;City;Unknown;M;;0;perpetrator was aiming at another person and hit victim instead;1012;33.92167;-118.22814;;;;;
11 01 1991;9;1;3;1991;Targeted;5;University of Iowa;College;Iowa City;IA;City;Current Student;M;28;1;perpetrator was angry that his dissertation did not get an award;27881;41.6616832;-91.5362795;;;;;
10 12 1992;1;1;1;1992;Targeted;1;Desert View;High;Tucson;AZ;City;Unknown;M;20;0;;1586;33.5625415;-112.0687607;;;;;
11 20 1992;2.5;16;2;1992;Other;1;Edward Tilden;High;chicago;IL;City;Current Student;M;15;0;Bystander to argument;possibly bystander to gang-related argument;1410;41.8075335;-87.6422731;;;;
11 16 1992;4;1;3;1992;Targeted;1;Fairfield;High;Birmingham;AL;Suburb;Unknown;;;0;Shooter trying to steal athletic jacket;657;33.4906623;-86.9080477;;;;;
01 13 1992;5.5;16;4;1992;Targeted;1;Langham Creek;High;Houston;TX;Suburb;Employee;M;39;1;Murder-suicide by estranged husband;2378;29.8791145;-95.6732795;;;;;
05 01 1992;7;1;5;1992;Targeted;4;Lindhurst;High;Olivehurst;CA;Suburb;Past Student;M;20;0;perpetrator was angry over not graduating;1179;39.0843374;-121.5357962;;;;;
10 06 1992;8.5;16;6;1992;Targeted;1;Northbrook;High;Houston;TX;City;Current Student;M;15;0;;1916;29.8160604;-95.5310535;;;;;
12 14 1992;10;1;7;1992;Random;2;Simon's Rock College of Bard;College;Great Barrington;MA;Rural;Current Student;M;18;0;perpetrator shot "at anything that moved";;42.20985;-73.386391;;;;;
12 03 1992;11.5;16;8;1992;Targeted;1;Woodson;Elementary;chicago;IL;City;Unknown;;;0;;539;41.8142004;-87.608661;;;;;
02 01 1993;1;1;1;1993;Targeted;1;Amityville;High;Amityville;NY;Suburb;Current Student;M;17;0;Due to prior dispute;716;40.6703784;-73.4117894;;;;;
